arm,session_id,parent_id,agent,cost_usd,tokens_in,tokens_out,tokens_cache_read,minutes,title
A,ses_f4c407fdfffemr1smsQqiVRuAI,"",build,1.7073,120883,16009,5945482,56.2,"Implementing immutable statuses in fr acceptance and journal"
A,ses_f4c3c902dffepzW8nH1rwTmE1T,ses_f4c407fdfffemr1smsQqiVRuAI,general,2.0433,126390,27080,6433779,22.0,"Implement acceptance mutations (@general subagent)"
A,ses_f4c390178ffe7zRYQXElgHweZj,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.1902,42421,1747,180569,1.3,"Review acceptance phase (@general subagent)"
A,ses_f4c3522aaffe6lTUTnO0Eb73Dm,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.207,31976,2082,262223,2.2,"Re-review acceptance phase (@general subagent)"
A,ses_f4c31c628ffeHpsdazo3jqDgFK,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.1752,34864,1499,172640,1.7,"Final acceptance review (@general subagent)"
A,ses_f4c2e3aa4ffehgJQ0e1ZjNsDvJ,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.2303,51676,1417,200932,1.7,"Verify acceptance phase (@general subagent)"
A,ses_f4c2b61eeffei2VmQqwuNJ0X5l,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.1608,34626,1161,135101,1.3,"Audit acceptance commands (@general subagent)"
A,ses_f4c2848f3ffej4ZRJtTG6gbWTo,ses_f4c407fdfffemr1smsQqiVRuAI,general,1.6274,105358,24115,5028409,14.9,"Implement journal mutations (@general subagent)"
A,ses_f4c2483aeffefF1tfgnDeOxXpI,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.2231,50383,1849,197735,1.6,"Review journal phase (@general subagent)"
A,ses_f4c21774effe7bD7H2yeHSFX0m,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.2122,55640,1570,199856,1.0,"Final journal review (@general subagent)"
A,ses_f4c1f8200ffedj8QSBc6HXgORa,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.1002,25006,884,76993,0.6,"Audit journal final (@general subagent)"
A,ses_f4c1d45cbffeQ1JKyp7BHOwK9S,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.2486,62855,1895,277007,1.0,"Final parser audit (@general subagent)"
A,ses_f4c1a98a2ffeczf8wUAwhILSxy,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.1854,47817,1428,199767,0.8,"Final journal compatibility audit (@general subagent)"
A,ses_f4c14df5affe2HAlXjqnSEmEUe,ses_f4c407fdfffemr1smsQqiVRuAI,general,0.2796,35395,4117,640192,2.0,"Fix suite regressions (@general subagent)"
B,ses_f4c41d7ccffenhjHI6myHp2OQd,"",build,1.0735,170378,13557,2229301,77.6,"Implement immutable statuses and finding states"
C,ses_f4be5d7bfffebt1xy2SKi4MqpP,"",build,0.9739,138468,13886,2149739,105.2,"Immutable state updates for fr acceptance and journal"
D,ses_f498aa18dffeXf86MmkEHM332E,"",build,0.1241,32202,838,131855,5.3,"Handling gh#429 with fr-goal skill"
